"","CodigoMateria","DescricaoIdentificacaoMateria","TipoConteudo","EmentaMateria","DataApresentacao","class_tematica"
"25",105590,"PLS 158/2012","Alteração","Altera a Lei nº 9.279, de 14 de maio de 1996, que “regula direitos e obrigações relativos à propriedade industrial”, para conferir prioridade ao exame do pedido de patentes verdes.","2012-05-16","Conservação da Natureza e Florestas"
"26",106048,"PLS 204/2012","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, para permitir a dedução integral das Áreas de Preservação Permanente, de Reserva Legal e de uso restrito da base de cálculo do Imposto sobre a Propriedade Territorial Rural.","2012-06-13","Conservação da Natureza e Florestas"
"27",107967,"PLS 368/2012","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre as Áreas de Preservação Permanentes em áreas urbanas.
","2012-10-16","Conservação da Natureza e Florestas"
"28",105916,"PLS 187/2012","Criação","Permite a dedução do imposto de renda de valores doados a projetos e atividades de reciclagem.","2012-05-31","Sustentabilidade e Energias Renováveis"
"29",106187,"PLS 217/2012","Alteração","Altera a Lei nº 6.938, de 31 de agosto de 1981, que dispõe sobre a Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação, e dá outras providências, para incluir os aspectos sociais no escopo das avaliações de impacto ambiental.","2012-06-26","Empreendimentos Ambientais e Espaços Urbanos"
"30",108550,"PLS 398/2012","Criação","Dispõe sobre o domínio e uso das águas em depósito, decorrentes de obras da União, de que trata o art. 26, I, da Constituição, altera os arts. 12 e 13 da Lei nº 9.433, de 8 de janeiro de 1997, e dá outras providências.","2012-11-06","Recursos Hídricos"
"31",109392,"PLS 439/2012","Criação","Proíbe a utilização de sacolas plásticas pelos estabelecimentos comerciais.","2012-12-04","Resíduos Sólidos"
"32",105566,"PLS 155/2012","Criação","Destina recursos ao Fundo Nacional de Meio Ambiente, instituído pela Lei nº 7.797, de 10 de julho de 1989, para o pagamento por serviços ambientais e para a recomposição da cobertura vegetal em áreas de preservação permanente ripárias.","2012-05-15","Empreendimentos Ambientais e Espaços Urbanos"
"33",106810,"PLS 289/2012","Alteração","Altera a Lei nº 6.404, de 15 de dezembro de 1976, para dispor sobre a obrigatoriedade de Relatório de Sustentabilidade para as companhias ou sociedades anônimas","2012-08-07","Empreendimentos Ambientais e Espaços Urbanos"
"34",106176,"PLS 214/2012","Criação","Institui Política de Desenvolvimento Sustentável do Cerrado.","2012-06-25","Conservação da Natureza e Florestas"
"35",106861,"PLS 300/2012","Criação","Dispõe sobre o instituto da multa civil, aplicável às questões ambientais, e dá outras providências.","2012-08-08","Crimes e Infrações Ambientais"
"36",111918,"PLS 104/2013","Alteração","
Altera a Lei nº 9.605, de 12 de fevereiro, de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências.","2013-03-27","Crimes e Infrações Ambientais"
"37",115227,"PLS 475/2013","Criação","Dispõe sobre a concessão de subvenção econômica nas operações de crédito para financiamento da aquisição de equipamentos de geração de energia eólica e fotovoltaica de capacidade reduzida.","2013-11-12","Sustentabilidade e Energias Renováveis"
"38",114926,"PLS 438/2013","Alteração","Altera o art. 1º da Lei nº 11.794, de 8 de outubro de 2008, para proibir o uso de animais em testes de produtos cosméticos.","2013-10-22","Proteção aos Animais"
"39",115855,"PLS 534/2013","Alteração","Altera a Lei nº 9.795, de 27 de abril de 1999, que dispõe sobre a educação ambiental, institui a Política Nacional de Educação Ambiental e dá outras providências.","2013-12-17","Educação Ambiental"
"40",113339,"PLS 252/2013","Alteração","Altera a Lei nº 6.938, de 31 de agosto de 1981, que dispõe sobre a Política Nacional de Meio Ambiente, para determinar que os padrões de qualidade ambiental sejam estabelecidos em conformidade com a avaliação do ciclo de vida do produto; e as Leis nº 8.666, de 21 de junho de 1993, que institui normas para licitações e contratos da Administração Pública, e nº 12.462, de 4 de agosto de 2011, que institui o Regime Diferenciado de Contratações Públicas – RDC, para incluir normas de avaliação do ciclo de vida do produto nas obras públicas.","2013-06-25","Empreendimentos Ambientais e Espaços Urbanos"
"41",113552,"PLS 273/2013","Alteração","Altera a Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos, para determinar que os fabricantes de produtos industrializados utilizem materiais reciclados como insumo.","2013-07-04","Resíduos Sólidos"
"42",115630,"PLS 505/2013","Criação","Cria a Tarifa Social de Água e Esgoto e dá outras Providências.","2013-12-04","Recursos Hídricos"
"43",115920,"PLS 556/2013","Criação","Concede incentivos fiscais, econômicos e creditícios para o desenvolvimento de atividades sustentáveis.","2013-12-20","Sustentabilidade e Energias Renováveis"
"44",113834,"PLS 305/2013","Alteração","Acrescenta dispositivos à Lei nº 11.284, de 2 de março de 2006, que aprova o Plano Anual de Outorga Florestal - PAOF.","2013-08-06","Política Fundiária e Reforma Agrária"
"45",114514,"PLS 390/2013","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o percentual de Reserva Legal para imóveis rurais situados no Estado de Rondônia.","2013-09-24","Conservação da Natureza e Florestas"
"46",115760,"PLS 523/2013","Alteração","Altera a Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos; altera a Lei nº 9.605, de 12 de fevereiro de 1998; e dá outras providências, para acrescentar a proibição de descarte irregular de resíduos ou rejeitos em vias públicas, na forma da legislação local.","2013-12-11","Resíduos Sólidos"
"47",112744,"PLS 191/2013","Criação","Dispõe sobre a obrigatoriedade da instalação de sistemas de aproveitamento de água da chuva na construção de prédios públicos bem como sobre a utilização de telhados ambientalmente corretos.","2013-05-16","Recursos Hídricos"
"48",113724,"PLS 291/2013","Alteração","Altera a Lei nº 11.445, de 5 de janeiro de 2007, para regular a cobrança pela prestação dos serviços de esgotamento sanitário.","2013-07-15","Recursos Hídricos"
"49",113903,"PLS 327/2013","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa, para explicitar sua aplicação ao ecossistema do lavrado.","2013-08-08","Conservação da Natureza e Florestas"
"50",114197,"PLS 349/2013","Alteração","Altera a Lei nº 6.001, de 19 de dezembro de 1973 (Estatuto do índio).","2013-09-02","Política Fundiária e Reforma Agrária"
"51",112115,"PLS 112/2013","Alteração","Altera a Lei nº 11.445, de 5 de janeiro de 2007, que estabelece diretrizes nacionais para o saneamento básico; altera as Leis nºs 6.766, de 19 de dezembro de 1979, 8.036, de 11 de maio de 1990, 8.666, de 21 de junho de 1993, 8.987, de 13 de fevereiro de 1995; revoga a Lei nº 6.528, de 11 de maio de 1978; e dá outras providências, com o objetivo de instituir incentivos e programas para implantação de sistemas de coleta, armazenamento e utilização de águas pluviais em condomínios residenciais e comerciais.","2013-04-04","Recursos Hídricos"
"52",114354,"PLS 368/2013","Criação","Dispõe sobre a demarcação e a legitimação de posse para fins de regularização fundiária rural de interesse social.","2013-09-12","Política Fundiária e Reforma Agrária"
"53",114393,"PLS 378/2013","Alteração","Altera a Lei nº 9.074, de 7 de junho de 1995, e as Leis nº 10.847 e nº 10.848, ambas de 15 de março de 2004, para condicionar a realização de leilões de linhas de transmissão da rede básica e de novos empreendimentos de geração à obtenção da respectiva Licença Prévia, junto ao órgão licenciador ambiental.","2013-09-17","Empreendimentos Ambientais e Espaços Urbanos"
"54",115631,"PLS 506/2013","Criação","Dispõe sobre a criação do Programa Nacional do Bioquerosene como incentivo à sustentabilidade ambiental da aviação brasileira e dá outras providências.","2013-12-04","Sustentabilidade e Energias Renováveis"
"55",111251,"PLS 67/2013","Alteração","Altera a Lei nº 12.305, de 2 de agosto de 2010, que institui a Política Nacional de Resíduos Sólidos, para dispor sobre a logística reversa de veículos automotores.","2013-03-05","Resíduos Sólidos"
"56",112860,"PLS 202/2013","Criação","Institui a Política Nacional de Estímulo à Transição para a Economia Verde.","2013-05-23","Sustentabilidade e Energias Renováveis"
"57",113566,"PLS 276/2013","Criação","Institui a Política Nacional de Pagamento por Serviços Ambientais (PNPSA).","2013-07-04","Empreendimentos Ambientais e Espaços Urbanos"
"58",116214,"PLS 47/2014","Criação","Proíbe a distribuição de animais a título de sorteio ou brinde.","2014-02-19","Proteção aos Animais"
"59",118404,"PLS 248/2014","Criação","Estabelece regras para preservar a calha principal e o curso natural do rio Araguaia.","2014-08-05","Recursos Hídricos"
"60",119356,"PLS 382/2014","Alteração","Altera as Leis n°s 8.171, de 17 de janeiro de 1991, e 12.787, de 11 de janeiro de 2013, para promover o uso sustentável dos equipamentos de irrigação na agricultura brasileira.","2014-12-09","Conservação da Natureza e Florestas"
"61",119357,"PLS 386/2014","Alteração","Altera a Lei Complementar nº 101, de 4 de maio de 2000, e a Lei nº 10.522, de 19 de julho de 2002, para facilitar a celebração de convênios, acordos, ajustes ou contratos voltados para a disposição final ambientalmente adequada de rejeitos.","2014-12-09","Resíduos Sólidos"
"62",118845,"PLS 317/2014","Criação","Autoriza o Poder Executivo a conceder empréstimos subsidiados a empresas ou pessoas jurídicas que desejem adquirir bicicletas ou construir bicicletários para o uso dos funcionários, entre outras coisas.","2014-11-07","Sustentabilidade e Energias Renováveis"
"63",119534,"PLS 426/2014","Alteração","Altera a Lei Complementar nº 101, de 4 de maio de 2000, e a Lei nº 10.522, de 19 de julho de 2002, para facilitar a celebração de convênios, acordos, ajustes ou contratos voltados para a disposição final ambientalmente adequada de rejeitos.","2014-12-18","Resíduos Sólidos"
"64",116010,"PLS 12/2014","Criação","Dispõe sobre incentivos para fomentar a reutilização de recursos hídricos no âmbito da Contribuição para o Programa de Integração Social e de Formação do Patrimônio do Servidor Público - PIS/PASEP, da Contribuição para o Financiamento da Seguridade Social - COFINS, do Imposto sobre Produtos Industrializados - IPI e Imposto de Renda Pessoa Jurídica - IRPJ.","2014-02-04","Recursos Hídricos"
"65",118684,"PLS 288/2014","Alteração","Altera a Lei nº 9.433, de 8 de janeiro de 1997, que institui a Política Nacional de Recursos Hídricos, cria o Sistema Nacional de Gerenciamento de Recursos Hídricos, regulamenta o inciso XIX do art. 21 da Constituição Federal, e altera o art. 1º da Lei nº 8.001, de 13 de março de 1990, que modificou a Lei nº 7.990, de 28 de dezembro de 1989, e a Lei nº 9.984, de 17 de julho de 2000, que dispõe sobre a criação da Agência Nacional de Águas - ANA, entidade federal de implementação da Política Nacional de Recursos Hídricos e de coordenação do Sistema Nacional de Gerenciamento de Recursos Hídricos, e dá outras providências, para atribuir aos Comitês de Bacia Hidrográfica a competência de decidir sobre as alterações de vazão outorgada de reservatórios regularizadores existentes na sua respectiva bacia.","2014-10-16","Recursos Hídricos"
"66",119355,"PLS 383/2014","Criação","Autoriza o Poder Executivo a conceder empréstimos subsidiados a empresas ou pessoas jurídicas que desejem adquirir bicicletas ou construir bicicletários para o uso dos funcionários, entre outras coisas.","2014-12-09","Sustentabilidade e Energias Renováveis"
"67",119536,"PLS 425/2014","Alteração","Prorroga o prazo para a disposição final ambientalmente adequada dos rejeitos de que trata o art. 54 da Lei nº 12.305, de 2 de agosto de 2010.","2014-12-18","Resíduos Sólidos"
"68",116415,"PLS 78/2014","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre o regime de uso da área de Reserva Legal dos imóveis rurais situados no ecossistema do Lavrado.","2014-03-12","Conservação da Natureza e Florestas"
"69",118989,"PLS 337/2014","Alteração","Altera o Decreto-Lei nº 340, de 22 de dezembro de 1967, que acrescenta disposições disciplinadoras ao Decreto-Lei nº 288, de 28 de fevereiro de 1967, e dá outras providências, para alterar as vedações aplicáveis aos incentivos fiscais vigentes na Zona Franca de Manaus.","2014-11-18","Sustentabilidade e Energias Renováveis"
"70",116261,"PLS 52/2014","Alteração","Altera a Lei nº 8.723, de 8 de outubro de 1993, para instituir a etiquetagem veicular.","2014-02-21","Empreendimentos Ambientais e Espaços Urbanos"
"71",117456,"PLS 166/2014","Criação","Dispõe sobre medidas que regulem a expansão do plantio de soja na Amazônia Legal.","2014-05-07","Conservação da Natureza e Florestas"
"72",118564,"PLS 265/2014","Alteração","Altera a Lei nº 9.433, de 8 de janeiro de 1997, e a Lei nº 9.984, de 17 de julho de 2000, para incluir exigências quanto à alteração da vazão de reservatórios regularizadores em outorga de direitos de uso de recursos hídricos.","2014-09-02","Recursos Hídricos"
"73",119027,"PLS 344/2014","Alteração","Altera a Lei nº 9.433, de 8 de janeiro de 1997, que institui a Política Nacional de Recursos Hídricos, para garantir a reprodução das cheias naturais a jusante dos reservatórios operados por agentes públicos e privados.","2014-11-19","Recursos Hídricos"
"74",116216,"PLS 45/2014","Alteração","Altera a Lei nº 11.794, de 8 de outubro de 2008, para proibir a utilização de animais na pesquisa e no desenvolvimento de produtos cosméticos e de higiene pessoal.","2014-02-19","Proteção aos Animais"
"75",116460,"PLS 90/2014","Criação","Declara de interesse social, para fins de desapropriação destinada à reforma agrária, as áreas rurais que ladeiam os eixos rodoviários federais, os leitos das ferrovias nacionais, e as terras beneficiadas ou recuperadas por investimentos da União em obras de irrigação, drenagem, açudagem, e outras espécies de melhoramentos, que não estejam cumprindo sua função social, e dá outras providências.","2014-03-13","Política Fundiária e Reforma Agrária"
"76",119024,"PLS 345/2014","Criação","Dispõe sobre a revitalização da bacia hidrográfica do rio São Francisco e o incentivo às atividades econômicas dependentes de seus recursos hídricos.","2014-11-19","Recursos Hídricos"
"77",119418,"PLS 403/2014","Alteração","Altera as Leis nos 12.546, de 14 de dezembro de 2011, 12.375, de 30 de dezembro de 2010, e 9.249, de 26 de dezembro de 1995, para instituir medidas de desoneração tributária de atividades relacionadas à logística reversa de que trata a Lei nº 12.305, de 2 de agosto de 2010 (Política Nacional de Resíduos Sólidos).","2014-12-11","Resíduos Sólidos"
"78",119400,"PLS 397/2014","Alteração","Altera a Lei nº 9.433, de 8 de janeiro de 1997, para facultar a aplicação em investimentos privados dos valores arrecadados com a cobrança pelo uso de recursos hídricos.","2014-12-10","Recursos Hídricos"
"79",120655,"PLS 214/2015","Alteração","Modifica o Código 20 do Anexo VIII da Lei nº 6.938, de 31 de agosto de 1981, acrescido pela Lei nº 10.165, de 27 de dezembro de 2000, para excluir a silvicultura do rol de atividades potencialmente poluidoras e utilizadoras de recursos ambientais.","2015-04-13","Conservação da Natureza e Florestas"
"80",120999,"PLS 259/2015","Alteração","Altera a Lei nº 11.445, de 5 de janeiro de 2007, que estabelece diretrizes nacionais para o saneamento básico, para incentivar a dessalinização da água do mar e das águas salobras subterrâneas.","2015-04-30","Recursos Hídricos"
"81",122989,"PLS 578/2015","Alteração","Altera a redação do § 2º do art. 5º da Lei nº 7.797, de 10 de julho de 1989, que cria o Fundo Nacional de Meio Ambiente e dá outras providências, para incluir como prioritárias as aplicações de recursos financeiros na Caatinga.","2015-09-02","Conservação da Natureza e Florestas"
"82",123946,"PLS 719/2015","Criação","Proíbe a comercialização e o uso de embalagens e recipientes de poliestireno destinados ao acondicionamento de alimentos e bebidas.","2015-11-10","Resíduos Sólidos"
"83",124173,"PLS 750/2015","Alteração","Altera a Lei nº 12.187, de 29 de dezembro de 2009, que institui a Política Nacional sobre Mudança do Clima – PNMC e dá outras providências, para adotar, como compromisso nacional voluntário adicional, ações de adaptação e mitigação de emissão de gases de efeito estufa para os anos de 2025 e 2030.","2015-11-24","Educação Ambiental"
"84",119891,"PLS 85/2015","Alteração","Altera a Lei nº 6.088, de 16 de julho de 1974, que “dispõe sobre a criação da Companhia de Desenvolvimento do Vale do São Francisco – Codevasf – e dá outras providências.","2015-03-04","Recursos Hídricos"
"85",122111,"PLS 429/2015","Alteração","Altera a Lei nº 8.001, de 13 de março de 1990, e a Lei nº 9.648, de 27 de maio de 1998, para aumentar em três pontos percentuais a compensação financeira pela exploração de recursos hídricos de aproveitamentos hidroelétricos na Bacia do Rio São Francisco, destinar o aumento à revitalização do Rio, e dá outras providências.","2015-07-02","Recursos Hídricos"
"86",123104,"PLS 602/2015","Criação","Dispõe sobre a criação do Balcão Único de Licenciamento Ambiental, estabelece procedimento para o processo de licenciamento ambiental dos empreendimentos considerados estratégicos e prioritários para o Estado e dá outras providências.","2015-09-09","Empreendimentos Ambientais e Espaços Urbanos"
"87",123290,"PLS 640/2015","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre o novo Código Florestal brasileiro, para autorizar a apresentação do Cadastro Ambiental Rural – CAR em substituição ao Ato Declaratório Ambiental – ADA.","2015-09-23","Política Fundiária e Reforma Agrária"
"88",123756,"PLS 699/2015","Alteração","Altera a Lei nº 12.651, de 25 de maio de 2012, que trata do Código Florestal brasileiro, para incluir o uso de Veículos Aéreos Não Tripulados (VANTs) entre as finalidades das ações de recuperação, conservação e uso sustentável das florestas e demais formas de vegetação nativa.","2015-10-22","Conservação da Natureza e Florestas"
"89",123926,"PLS 717/2015","Criação","Dispõe sobre diretrizes e instrumentos para o planejamento de ações de responsabilidade socioambiental a serem observadas pela União, Estados, Distrito Federal e Municípios, com o fim de garantir a proteção do meio ambiente e o combate à poluição nas atividades dos órgãos e entidades públicos.","2015-11-05","Conservação da Natureza e Florestas"
"90",124112,"PLS 743/2015","Alteração","Altera a Lei 12.305 de 2 de Agosto de 2010 e dá outras providências.","2015-11-19","Resíduos Sólidos"
"91",124508,"PLS 794/2015","Alteração","Altera as Leis nº 6.938, de 31 de agosto de 1981, que dispõe sobre a Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação, e dá outras providências, e nº 7.347, de 24 de julho de 1985, que disciplina a ação civil pública de responsabilidade por danos causados ao meio ambiente, ao consumidor, a bens e direitos de valor artístico, estético, histórico turístico e paisagístico, e dá outras providências, para definir dano ambiental e estabelecer a necessidade de indenização quanto aos impactos econômicos dele decorrentes.","2015-12-17","Crimes e Infrações Ambientais"
"92",119619,"PLS 13/2015","Alteração","Altera a Lei nº 9.433, de 8 de janeiro de 1997, (Política Nacional de Recursos Hídricos) e a Lei nº 11.445, de 5 de janeiro de 2007 (Lei de Saneamento Básico) para promover o uso de fontes alternativas de abastecimento de água.","2015-02-04","Recursos Hídricos"
"93",122192,"PLS 444/2015","Alteração","Altera a Lei nº 11.445, de 5 de janeiro de 2007, para instituir como direito da população o acesso a relatórios periódicos sobre o nível dos reservatórios de água para abastecimento público e outros dados relativos à segurança hídrica.","2015-07-07","Recursos Hídricos"
"94",123044,"PLS 587/2015","Alteração","Altera a Lei nº 9.433, de 8 de janeiro de 1997, para incluir nos Planos de Recursos Hídricos a promoção de campanhas educacionais periódicas para estimular o uso racional da água.","2015-09-08","Recursos Hídricos"
"95",123276,"PLS 631/2015","Criação","Institui o Estatuto dos Animais e altera a redação do art. 32 da Lei no 9.605, de 12 de fevereiro de 1998.","2015-09-23","Proteção aos Animais"
"96",123372,"PLS 654/2015","Criação","Dispõe sobre o procedimento de licenciamento ambiental especial para empreendimentos de infraestrutura considerados estratégicos e de interesse nacional.","2015-09-29","Empreendimentos Ambientais e Espaços Urbanos"
"97",123558,"PLS 677/2015","Criação","Institui o Estatuto dos Animais, altera a Lei nº 9.605, de 12 de fevereiro de 1998, que dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente, e dá outras providências.","2015-10-07","Proteção aos Animais"
"98",123822,"PLS 705/2015","Alteração","Altera a redação do § 7º do art. 12 da Lei nº 12.651, de 25 de maio de 2012, que dispõe sobre a proteção da vegetação nativa; altera as Leis nos 6.938, de 31 de agosto de 1981, 9.393, de 19 de dezembro de 1996, e 11.428, de 22 de dezembro de 2006; revoga as Leis nos 4.771, de 15 de setembro de 1965, e 7.754, de 14 de abril de 1989, e a Medida Provisória no 2.166-67, de 24 de agosto de 2001; e dá outras providências, para excluir da obrigatoriedade da reserva legal as áreas nas quais funcionem empreendimentos de geração de energia elétrica de fonte eólica ou solar.","2015-10-28","Conservação da Natureza e Florestas"
"99",123985,"PLS 734/2015","Alteração","Altera a Lei nº 8.629, de 25 de fevereiro de 1993, que dispõe sobre a regulamentação dos dispositivos constitucionais relativos à reforma agrária, previstos no Capítulo III, Título VII, da Constituição Federal, para tratar da medição e demarcação de lotes distribuídos para fins de reforma agrária e para ampliar a gratuidade da alienação desses imóveis cujas áreas não ultrapassem dois módulos fiscais.","2015-11-10","Política Fundiária e Reforma Agrária"
"100",119621,"PLS 15/2015","Alteração","Altera a Lei nº 11.977, de 7 de julho de 2009, que dispõe sobre o Programa Minha Casa, Minha Vida – PMCMV e a regularização fundiária de assentamentos localizados em áreas urbanas; altera o Decreto-Lei nº 3.365, de 21 de junho de 1941, as Leis nºs 4.380, de 21 de agosto de 1964, 6.015, de 31 de dezembro de 1973, 8.036, de 11 de maio de 1990, e 10.257, de 10 de julho de 2001, e a Medida Provisória nº 2.197-43, de 24 de agosto de 2001; e dá outras providências, para determinar a exigência de sistemas de captação de águas pluviais.","2015-02-04","Recursos Hídricos"
"101",120763,"PLS 228/2015","Alteração","Altera a Lei nº 12.787, de 11 de janeiro de 2013, para incluir na Política Nacional de Irrigação a promoção do uso racional dos recursos hídricos.","2015-04-15","Recursos Hídricos"
"102",120777,"PLS 232/2015","Alteração","Altera a Lei nº 7.661, de 16 de maio de 1988, para incluir como diretriz do Plano Nacional de Gerenciamento Costeiro o controle da erosão marítima e fluvial.","2015-04-16","Recursos Hídricos"
"103",120890,"PLS 243/2015","Alteração","Altera o art. 38 e 38-A da Lei nº 9.605, de 12 de fevereiro de 1998, para majorar a pena do crime de destruição ou danificação de floresta em área de preservação permanente, bem como para tipificar o crime de destruição ou danificação da vegetação da Amazônia Legal.","2015-04-27","Conservação da Natureza e Florestas"
"104",121398,"PLS 304/2015","Criação","Dispõe sobre a obrigatoriedade da instalação de “Terraço Verde” nos locais que especifica e dá outras providências.","2015-05-26","Empreendimentos Ambientais e Espaços Urbanos"
