"","X.1","X","CodigoMateria","AnoMateria","DescricaoIdentificacaoMateria","IndicadorTramitando","EmentaMateria","ExplicacaoEmentaMateria","IndexacaoMateria","Autor","DataApresentacao","DataLeitura","CodigoNatureza","NomeNatureza","DescricaoNatureza","Codigo_especifico","Descricao_especifica","Codigo_geral","Descricao_geral","NaturezaMateria","ApelidoMateria","ObservacaoMateria","CodMateriaSucessoraNoSenado","CodigoClasseConcat","DescricaoClasseConcat","DescricaoClasseHiearConcat","amostra_meioamb","Subtemas","TipoIniciativa","IndexacaoAjustada2","TipoConteudo"
"20",685,685,98967,2011,"PLS 5/2011","Não","Altera a Lei nº 8.666, de 21 de junho de 1993, para incluir exigências quanto a critérios de sustentabilidade ambiental nas normas gerais sobre licitações e contratos administrativos.","Acrescenta o § 1º ao artigo 3º da Lei 8.666, de 21 de junho de 1993 (Lei de Licitações e Contratos Administrativos), para determinar estabelecer que, na seleção da proposta mais vantajosa para a Administração, serão levados em conta critérios de sustentabilidade ambiental. Altera o inciso III do artigo 3º da Lei 8.666, de 21 de junho de 1993, para definir, como um dos critérios de desempate, os bens e serviços produzidos ou prestados por empresas que invistam em pesquisa e no desenvolvimento de tecnologia no País e em projetos e programas voltados para a proteção do meio ambiente. Acrescenta inciso IV ao § 7º do artigo 15 da Lei 8.666, de 21 de junho de 1993 para determinar que nas compras deverá ser observada a compatibilidade do bem a ser adquirido com as exigências relativas à proteção do meio ambiente.","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DE LICITAÇÕES E CONTRATOS, ACRESCIMO, DISPOSITIVOS, INCLUSÃO, CRITERIOS, DEFINIÇÃO, PRIORIDADE, OFERTA, EMPRESA, CONSTATAÇÃO, ENVOLVIMENTO, INVESTIMENTO, AREA, PESQUISA, DESENVOLVIMENTO, TECNOLOGIA, FAVORECIMENTO, PRESERVAÇÃO, SUSTENTABILIDADE, PROTEÇÃO, MEIO AMBIENTE.","Senador Magno Malta (PL/ES)","2011-02-03","2011-02-03",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DE LIC","Alteração"
"21",801,801,106866,2012,"PLS 299/2012","Não","Altera a Lei nº 7.347, de 24 de julho de 1985, para dispor sobre a cumulação dos deveres de reparação do dano ambiental e de indenização, e dá outras providências.","Altera a Lei nº 7.347/85, que disciplina a ação civil pública de responsabilidade por danos causados ao meio-ambiente, ao consumidor, a bens e direitos de valor artístico, estético, histórico, turístico e paisagístico (VETADO) e dá outras providências, para estabelecer que a ação civil poderá ter por objeto, cumulativamente, a condenação em dinheiro e o cumprimento de obrigação de fazer ou não fazer.

","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DOS INTERESSES DIFUSOS, ACUMULAÇÃO, DEVER LEGAL, REPARAÇÃO, DANOS, MEIO AMBIENTE, INDENIZAÇÃO, AÇÃO CIVIL PUBLICA, OBJETO, CONDENAÇÃO, DINHEIRO, OBRIGAÇÃO DE FAZER, OBRIGAÇÃO DE NÃO FAZER, DEFESA, JURISPRUDENCIA, (STJ).","Senador Lindbergh Farias (PT/RJ)","2012-08-08","2012-08-08",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DOS IN","Alteração"
"22",838,838,105249,2012,"PLS 123/2012","Não","Dispõe sobre as áreas consolidadas em áreas de preservação permanente e em áreas de reserva legal, e dá outras providências.","Dispõe sobre as áreas consolidadas em áreas de preservação permanente e em áreas de reserva legal, e dá outras providências; institui a figura jurídica da Área Rural Consolidada, definida como área de imóvel rural com ocupação antrópica pré-existente a 22 de julho de 2008, com edificações, benfeitorias e atividades agrossilvipastoris; estabelece que a União, os Estados e o Distrito Federal deverão implantar programas de regularização ambiental de posses e propriedades rurais com o objetivo de adequar as áreas rurais consolidadas aos termos da lei; dispõe que durante o processo de regularização ambiental, o proprietário ou possuidor não poderá ser autuado e serão suspensas as sanções decorrentes de infrações cometidas antes de 22 de julho de 2008, relativas à supressão irregular de vegetação em áreas de Reserva Legal, Áreas de Preservação Permanente e áreas de uso restrito; estabelece que os proprietários ou possuidores de imóveis rurais que realizaram supressão de vegetação nativa, respeitando os percentuais de Reserva Legal previstos pela legislação em vigor à época em que ocorreu a supressão, ficam dispensados de promover a recomposição, compensação, ou regeneração para os percentuais exigidos nesta lei.","CRIAÇÃO,  NORMA JURIDICA, LEI FEDERAL, ÁREA DE PROTEÇÃO AMBIENTAL, PRESERVAÇÃO, RESERVA FLORESTAL, RESERVA BIOLÓGICA, UNIÃO FEDERAL, ESTADOS, (DF), PRAZO, PRORROGAÇÃO, REGULARIZAÇÃO, EXECUTIVO, MEIO AMBIENTE, PROPRIEDADE RURAL, REGULAMENTO, IMÓVEL RURAL, CADASTRO, OBRIGATORIEDADE, ADESÃO, PROGRAMA NACIONAL, (SISNAMA), TERMO DE COMPROMISSO, TÍTULO EXECUTIVO EXTRAJUDICIAL, SUPRESSÃO, IRREGULARIDADE, VEGETAÇÃO, SUSPENSÃO, INFRAÇÃO, MULTA, CONVERSÃO, RECUPERAÇÃO, PRESCRIÇÃO, INTERRUPÇÃO, PUNIBILIDADE, EXTINÇÃO, CONTINUAÇÃO, EXPLORAÇÃO, ATIVIDADE AGROPECUÁRIA, ATIVIDADE AGRÍCOLA, ATIVIDADE PECUÁRIA, ATIVIDADE PECUARIA, TURISMO, CONSERVAÇÃO, IMPACTO AMBIENTAL, CURSO D'ÁGUA, PROPRIEDADE FAMILIAR, MÓDULO FISCAL, MANUTENÇÃO, INFRA ESTRUTURA, RESIDÊNCIA, PLANTIO, REFLORESTAMENTO, EROSÃO, INUNDAÇÃO, RESERVATÓRIO, ASSENTAMENTO RURAL, ESTUDO TÉCNICO, SANEAMENTO BÁSICO, ACESSO, PRAIA, INSTRUÇÃO, TOMBAMENTO, AQUISIÇÃO, COTA, ARRENDAMENTO, DOAÇÃO, PODER PÚBLICO, LOCALIZAÇÃO, COMPENSAÇÃO, CONCESSÃO, PROPRIETÁRIO, COMPROVAÇÃO, DOCUMENTO, CONTRATO, SERVIDÃO, AMAZÔNIA LEGAL.","Senador Jorge Viana (PT/AC) e outros.","2012-04-25","2012-04-25",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Coletiva","CRIAÇÃO,  NORMA JURIDICA, LEI FEDERAL, ÁREA DE PRO","Criação"
"23",857,857,107084,2012,"PLS 310/2012","Não","Dá nova redação ao art. 15-A e acrescenta-se § 2º ao art. 34, ambos do Decreto-Lei nº 3.365, de 21 de junho de 1941, para dispor sobre a fixação dos juros compensatórios devidos em decorrência das desapropriações por necessidade ou utilidade pública e interesse social, inclusive para fins de reforma agrária, bem como dispor sobre a indenização de área não registrada nas desapropriações por utilidade pública.","Altera o Decreto-Lei nº 3.365/1941 para dispor que na imissão prévia na posse decorrente de desapropriação por necessidade pública, utilidade pública ou interesse social, inclusive para fins de reforma agrária, havendo divergência entre o preço ofertado em juízo e o valor do bem fixado na sentença, expressos em termos reais, incidirão juros compensatórios de 12% (doze por cento) ao ano sobre a diferença entre 80% (oitenta por cento) do preço ofertado e o valor fixado na sentença. Estabelece que  os juros compensatórios têm por destinação compensar a perda de renda pelo proprietário, efetiva ou potencial, de modo que a mera ausência de exploração econômica da área desapropriada, ou de parte dela, não impede a sua incidência, salvo se for demonstrado que o imóvel expropriado não pode ser objeto de exploração econômica alguma, atual ou futura, em decorrência de limitações legais ou da situação geográfica ou topográfica. Estabelece que no período compreendido entre 11 de junho de 1997 e 13 de setembro de 2001, a base de cálculo para incidência dos juros compensatórios de que trata esta lei deverá corresponder ao valor ofertado pela Administração Pública, menos o valor fixado pela sentença, em observância à lei vigente da época de ocorrência dos fatos. Revoga os §§ 2º e 4º do art. 15-A do Decreto-Lei nº 3.365, de 21 de junho de 1941. (Art. 15-A - No caso de imissão prévia na posse, na desapropriação por necessidade ou utilidade pública e interesse social, inclusive para fins de reforma agrária, havendo divergência entre o preço ofertado em juízo e o valor do bem, fixado na sentença, expressos em termos reais, incidirão juros compensatórios de até seis por cento ao ano sobre o valor da diferença eventualmente apurada, a contar da imissão na posse, vedado o cálculo de juros compostos. § 2º -  Não serão devidos juros compensatórios quando o imóvel possuir graus de utilização da terra e de eficiência na exploração iguais a zero. § 4º - Nas ações referidas no § 3º, não será o Poder Público onerado por juros compensatórios relativos a período anterior à aquisição da propriedade ou posse titulada pelo autor da ação."")

","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DE DESAPROPRIAÇÃO POR UTILIDADE PUBLICA, REDAÇÃO, FIXAÇÃO, JUROS COMPENSATÓRIOS, NECESSIDADE PÚBLICA, INTERESSE SOCIAL, OBJETIVO, REFORMA AGRARIA, INDENIZAÇÃO, AREA, AUSENCIA, REGISTRO, IMISSÃO DE POSSE, DIVERGENCIA, PREÇO, VALOR, PERDA DE CAPITAL, EXCEÇÃO, DEMONSTRAÇÃO, IMPOSSIBILIDADE, EXPLORAÇÃO, ATIVIDADE ECONOMICA, LIMITAÇÃO LEGAL, TOPOGRAFIA, GEOGRAFIA, MEDIDA, TERRENO, DEPOSITO JUDICIAL, RETIFICAÇÃO, TITULARIDADE, DOMINIO.","Senador Pedro Taques (PDT/MT)","2012-08-28","2012-08-28",11,"NORMA_GERAL","Norma Geral",115,"Política fundiária e reforma agrária",82,"Econômico",NA,"","",NA,"33805077","Política Fundiária e Reforma Agrária","Economia e Desenvolvimento / Política Fundiária e Reforma Agrária",1,"Política Fundiária e Reforma Agrária","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, LEI DE DES","Alteração"
"24",947,947,104955,2012,"PLS 94/2012","Não","Institui, em processos licitatórios para exploração de petróleo, gás natural ou outros hidrocarbonetos, a necessidade de incluir disposição que trate de planos de emergência para os casos de vazamento ou derramamento de óleo ou derivados, como requisito de edital, como critério de julgamento de licitação e como condição contratual.","Altera a Lei nº 9.478, de 6 de agosto de 1997 (Dispõe sobre a política energética nacional, as atividades relativas ao monopólio do petróleo, institui o Conselho Nacional de Política Energética e a Agência Nacional do Petróleo) e a Lei nº 12.351, de 22 de dezembro de 2010 (Dispõe sobre a exploração e a produção de petróleo, de gás natural e de outros hidrocarbonetos fluidos, sob o regime de partilha de produção, em áreas do pré-sal e em áreas estratégicas; cria o Fundo Social - FS e dispõe sobre sua estrutura e fontes de recursos), para dispor que o edital da licitação indicará obrigatoriamente a exigência de apresentação de planos de emergência que detalhem as medidas a serem tomadas, pela empresa ou grupo de empresas licitantes, em situações de vazamento ou derramamento de óleo e derivados e que no julgamento da licitação serão levados em conta os planos de emergência a serem executados em situações de vazamento ou derramamento de óleo e derivados; que o contrato de concessão conterá a apresentação de plano de contingência detalhado relativo a acidentes por vazamento de petróleo, de gás natural, de outros hidrocarbonetos fluidos ou de seus derivados, que serviram de argumento para a decisão do vencedor do respectivo processo licitatório.

","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, PETRÓLEO, DERIVADOS DE PETRÓLEO, GÁS NATURAL, HIDROCARBONETO, EXPLORAÇÃO, LICITAÇÃO, PLANO DE AÇÃO, EMERGÊNCIA, ACIDENTES, DESASTRE, CLÁUSULA, INCLUSÃO, EDITAL, PRÉ REQUISITO, JULGAMENTO, CONTRATO, CRITÉRIOS, APRESENTAÇÃO, ELABORAÇÃO, REPARAÇÃO.","Senador Ciro Nogueira (PP/PI)","2012-04-11","2012-04-11",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, PETRÓLEO, ","Criação"
"25",960,960,105590,2012,"PLS 158/2012","Não","Altera a Lei nº 9.279, de 14 de maio de 1996, que “regula direitos e obrigações relativos à propriedade industrial”, para conferir prioridade ao exame do pedido de patentes verdes.","Altera a Lei nº 9.279/1996 “que regula direitos e obrigações relativos à propriedade industrial” para dispor que o pedido de patente de invenção referente a tecnologias verdes terá prioridade sobre o demais pedidos. Define que, para os efeitos desta Lei, entende-se por tecnologias verdes aquelas que promovam o uso racional dos recursos ambientais, ou estejam alinhadas com os objetivos da Política Nacional sobre Mudanças Climáticas, instituída pela Lei nº 12.187/2009.

","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, CODIGO DE PROPRIEDADE INDUSTRIAL, ACRESCIMO, PEDIDO, PATENTE DE INVENÇÃO, TECNOLOGIA, PROMOÇÃO, UTILIZAÇÃO, RACIONAMENTO, RECURSOS AMBIENTAIS, POLÍTICA NACIONAL, CLIMA, PRIORIDADE, (OMPI).","Senador Ciro Nogueira (PP/PI)","2012-05-16","2012-05-16",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, CODIGO DE ","Alteração"
"26",968,968,106048,2012,"PLS 204/2012","Não","Altera a Lei nº 12.651, de 25 de maio de 2012, para permitir a dedução integral das Áreas de Preservação Permanente, de Reserva Legal e de uso restrito da base de cálculo do Imposto sobre a Propriedade Territorial Rural.","Altera a Lei nº 12.651/2012 para autorizar o Poder Executivo Federal a instituir compensação pelas medidas de conservação ambiental necessárias para o cumprimento dos objetivos desta lei, utilizando-se dos seguintes instrumentos, dentre outros: dedução das Áreas de Preservação Permanente, de Reserva Legal e de uso restrito da base de cálculo do Imposto sobre a Propriedade Territorial Rural-ITR, gerando créditos tributários até o limite de cem por cento do imposto devido.
","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, CODIGO FLORESTAL, DESONERAÇÃO TRIBUTARIA, INCENTIVO FISCAL, DEDUÇÃO, INTEGRALIDADE, ÁREA, PRESERVAÇÃO, CARÁTER PERMANENTE, RESERVA, LIMITAÇÃO LEGAL, UTILIZAÇÃO, RESTRIÇÃO, BASE DE CÁLCULO, IMPOSTOS, IMPOSTO TERRITORIAL RURAL, PROPRIEDADE RURAL, CRÉDITO TRIBUTÁRIO, PERCENTAGEM, IMPOSTO DEVIDO.","Senador Vital do Rêgo (MDB/PB)","2012-06-13","2012-06-13",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, CODIGO FLO","Alteração"
"27",986,986,107967,2012,"PLS 368/2012","Não","Altera a Lei nº 12.651, de 25 de maio de 2012, para dispor sobre as Áreas de Preservação Permanentes em áreas urbanas.
","Altera a redação do § 9º e acresce § 10 ao art. 4º da Lei nº 12.651/12 (dispõe sobre a proteção da vegetação nativa) para considerar, no § 9º da mencionada Lei,  como  Área de Preservação Permanente, as áreas urbanas, assim entendidas as áreas compreendidas nos perímetros urbanos definidos por lei municipal, e nas regiões metropolitanas e aglomerações urbanas, as faixas marginais de qualquer curso d’água natural que delimitem as áreas da faixa de passagem de inundação terão sua largura determinada pelos respectivos Planos Diretores e Leis de Uso do Solo, ouvidos os Conselhos Estaduais e Municipais de Meio Ambiente, e respeitado, no que couber, o plano de defesa civil. Sendo que, de acordo como o § 10 da mencionada Lei, no caso de áreas urbanas, assim entendidas as compreendidas nos perímetros urbanos definidos por lei municipal, e nas regiões metropolitanas e aglomerações urbanas, observar-se-á o disposto nos respectivos Planos Diretores e Leis Municipais de Uso do Solo, respeitado, no que couber, o plano de defesa civil.

","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, CODIGO FLORESTAL, AREA DE PROTEÇÃO AMBIENTAL, ZONA URBANA, FAIXA, MARGEM, CURSO D'AGUA, INUNDAÇÃO, DETERMINAÇÃO, PLANO DIRETOR, UTILIZAÇÃO, SOLO, PLANO, DEFESA CIVIL, REGIÃO METROPOLITANA, CONSELHO, MEIO AMBIENTE.","Senadora Ana Amélia (PP/RS)","2012-10-16","2012-10-16",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, CODIGO FLO","Alteração"
"28",1022,1022,105916,2012,"PLS 187/2012","Não","Permite a dedução do imposto de renda de valores doados a projetos e atividades de reciclagem.","Possibilita, na forma de regulamento, a dedução de Imposto de Renda devido, 50% do valor das doações devidamente comprovadas a projetos e atividades de reciclagem previamente aprovados pelo órgão competente do Poder Executivo. Define reciclagem para os efeitos da lei. Estabelece os limites da dedução de imposto autorizada. Estabelece que a lei entra em vigor na data de publicação, produzindo efeitos a partir de 1º de janeiro do ano subsequente.","CRIAÇÃO, NORMA JURIDICA, LEI FEDERAL, POSSIBILIDADE, DEDUÇÃO, IMPOSTO DE RENDA, DESONERAÇÃO TRIBUTARIA, INCENTIVO FISCAL, IMPOSTO DEVIDO, PESSOA FÍSICA, PESSOA JURÍDICA, PERCENTAGEM, VALOR, LUCRO REAL, DOAÇÃO, LIMITAÇÃO, COMPROVAÇÃO, PROJETO, ATIVIDADE, RECICLAGEM, DEFINIÇÃO, APROVAÇÃO, ÓRGÃO, EXECUTIVO.","Senador Paulo Bauer (PSDB/SC)","2012-05-31","2012-05-31",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","CRIAÇÃO, NORMA JURIDICA, LEI FEDERAL, POSSIBILIDAD","Criação"
"29",1030,1030,106187,2012,"PLS 217/2012","Não","Altera a Lei nº 6.938, de 31 de agosto de 1981, que dispõe sobre a Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação, e dá outras providências, para incluir os aspectos sociais no escopo das avaliações de impacto ambiental.","Altera a Lei nº 6.938/1981 que dispõe sobre a Política Nacional do Meio Ambiente, seus fins e mecanismos de formulação e aplicação, e dá outras providências para dispor que são instrumentos da Política Nacional do Meio Ambiente a avaliação de impactos socioambientais e o licenciamento e a revisão de atividades efetiva ou potencialmente poluidoras ou capazes de causar degradação ambiental ou significativo impacto social. Dispõe que a construção, instalação, ampliação e funcionamento de estabelecimentos e atividades utilizadores de recursos ambientais, efetiva ou potencialmente poluidores ou capazes, sob qualquer forma, de causar degradação ambiental ou significativo impacto social, dependerão de prévio licenciamento socioambiental.

","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, ACRÉSCIMO, POLÍTICA NACIONAL, MEIO AMBIENTE, INCLUSÃO, NATUREZA SOCIAL, INSTRUMENTO, AVALIAÇÃO, IMPACTO AMBIENTAL, LICENCIAMENTO, CONSTRUÇÃO, INSTALAÇÃO, AMPLIAÇÃO, FUNCIONAMENTO, UTILIZAÇÃO, ESTABELECIMENTO, RECURSOS AMBIENTAIS.","Senadora Lídice da Mata (PSB/BA)","2012-06-26","2012-06-26",11,"NORMA_GERAL","Norma Geral",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","ALTERAÇÃO, NORMA JURIDICA, LEI FEDERAL, ACRÉSCIMO,","Alteração"
"30",1053,1053,108550,2012,"PLS 398/2012","Não","Dispõe sobre o domínio e uso das águas em depósito, decorrentes de obras da União, de que trata o art. 26, I, da Constituição, altera os arts. 12 e 13 da Lei nº 9.433, de 8 de janeiro de 1997, e dá outras providências.","Regulamenta a propriedade e o uso das águas em depósito, decorrentes de obras da União. Define que se consideram: águas em depósito aquelas contidas em reservatórios construídos com a finalidade de armazenamento para o consumo humano, dessedentação de animais, irrigação, navegabilidade, produção de energia hidráulica, ou outros usos previstos na legislação sobre recursos hídricos; reservatórios as acumulações não naturais de água; e obras da União as realizadas com recursos total ou predominantemente federais. Define que as águas em depósito decorrentes de obras da União constituem propriedade sua, independentemente de seu abastecimento se fazer com recursos hídricos de domínio federal ou estadual, estabelecendo que essa determinação não obsta a alienação, pela União, do domínio das águas em depósito ao Estado no qual se encontrem, nem o seu condomínio ou cessão, quando estabelecido em convênio celebrado entre a União e o Estado. Determina que é vedada a construção ou operação, pela União, de reservatório que implique significativo comprometimento da disponibilidade hídrica em corpos de água de domínio dos Estados. Dispõe que a propriedade das águas em depósito implica a propriedade dos terrenos marginais respectivos e do leito inundado. Dispõe que na hipótese de águas de depósito decorrentes de obras da União, a construção da infraestrutura para depósito das águas deverá ser precedida da desapropriação das terras a serem inundadas. Determina que os trechos de rio estadual, bem como respectivos terrenos marginais, que venham a ser incorporados pelo reservatório, além das terras devolutas estaduais que vierem a ser inundadas pelas águas do reservatório, passarão para o domínio da União, sem necessidade de indenização, exceto pelas benfeitorias existentes. Dispõe O uso das águas em depósito submete-se aos requisitos previstos na Lei nº 9.433, de 8 de janeiro de 1997, a qual institui a Política Nacional de Recursos Hídricos e cria o Sistema Nacional de Gerenciamento de Recursos Hídricos, bem como às normas expedidas pelo Conselho Nacional de Meio Ambiente e pelo Conselho Nacional de Recursos Hídricos. Altera a Lei n. 9.433, de 8 de janeiro de 1997, para: determinar que compete ao órgão responsável pela outorga de direito de uso de recursos hídricos fornecer, para fins de aproveitamento de potencial de energia hidráulica, declaração de reserva de disponibilidade hídrica; para dispor que a citada declaração tem por objetivo reservar, em benefício do solicitante e por prazo determinado, a quantidade de água necessária à viabilidade do empreendimento hidrelétrico, sendo transformada automaticamente em outorga de direito de uso de recurso hídrico, com a celebração de contrato de concessão ou a expedição do ato de autorização para a exploração de potencial de energia hidráulica; para definir que a análise das solicitações da citada declaração será feita em caráter prioritário pelo órgão responsável pelo seu fornecimento; e para determinar que toda outorga estará condicionada às prioridades de uso estabelecidas nos Planos de Recursos Hídricos e deverá respeitar a classe em que o corpo de água estiver enquadrado e a manutenção de condições adequadas ao transporte aquaviário e à geração de energia elétrica, quando for o caso.","CRIAÇÃO, NORMA JURIDICA, REGULAMENTAÇÃO, PROPRIEDADE, UTILIZAÇÃO, AGUA, DEPOSITO, OBRA PUBLICA, UNIÃO FEDERAL, RESERVATORIO, RECURSOS FINANCEIROS, TOTAL, PROPRIEDADE, CONVENIO, ESTADOS, INFRAESTRUTURA, DESAPROPRIAÇÃO, RIO, TERRA DEVOLUTA, AMBITO ESTADUAL, POLITICA NACIONAL, RECURSOS HIDRICOS, CONSELHO NACIONAL, MEIO AMBIENTE.","Senador Pedro Taques (PDT/MT)","2012-11-06","2012-11-06",11,"NORMA_GERAL","Norma Geral",112,"Recursos hídricos",82,"Econômico",NA,"","",NA,"33809679","Recursos Hídricos","Meio Ambiente / Recursos Hídricos",1,"Recursos Hídricos","Individual","CRIAÇÃO, NORMA JURIDICA, REGULAMENTAÇÃO, PROPRIEDA","Criação"
"31",1058,1058,109392,2012,"PLS 439/2012","Não","Proíbe a utilização de sacolas plásticas pelos estabelecimentos comerciais.","Proíbe  a utilização, pelos estabelecimentos comerciais, de sacolas plásticas para acondicionamento e entrega de produtos e mercadorias aos clientes, devendo serem substituídas, no prazo de cinco anos, por sacolas reutilizáveis, confeccionadas em material reciclável e resistente ao uso continuado. O descumprimento da Lei sujeitará os infratores às sanções previstas na Lei nº 9.605/98 (dispõe sobre as sanções penais e administrativas derivadas de condutas e atividades lesivas ao meio ambiente).

","CRIAÇÃO, NORMA JURIDICA, SUGESTÃO, PROIBIÇÃO, UTILIZAÇÃO, SACO, MATERIAL PLASTICO, ESTABELECIMENTO COMERCIAL.","Comissão de Direitos Humanos e Legislação Participativa","2012-12-04","2012-12-04",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Coletiva","CRIAÇÃO, NORMA JURIDICA, SUGESTÃO, PROIBIÇÃO, UTIL","Criação"
"32",1082,1082,105566,2012,"PLS 155/2012","Não","Destina recursos ao Fundo Nacional de Meio Ambiente, instituído pela Lei nº 7.797, de 10 de julho de 1989, para o pagamento por serviços ambientais e para a recomposição da cobertura vegetal em áreas de preservação permanente ripárias.","Destina recursos ao Fundo Nacional de Meio Ambiente, instituído pela Lei nº 7.797/89, para pagamento por serviços ambientais e para a recomposição da cobertura vegetal em áreas de preservação permanente ripárias (art. 1º). Acresce os §§ 13 a 16 ao art. 4º da Lei nº 9.074/95 (estabelece normas para outorga e prorrogações das concessões e permissões de serviços públicos) para dispor no § 13 que as concessões, permissões e autorizações de exploração de serviços e instalações de energia elétrica e de aproveitamento energético dos cursos de água serão contratadas, prorrogadas ou outorgadas nos termos da mencionada Lei e da Lei nº 8.987/95 (dispõe sobre o regime de concessão e permissão da prestação de serviços públicos previsto no art. 175 da Constituição Federal), e que após o vencimento da primeira prorrogação, é vedada a prorrogação a título não oneroso das concessões de geração de energia; prevê no § 14 que no caso de renovação a título oneroso da concessão de geração de energia elétrica, por prorrogação ou nova licitação, no mínimo 5% (cinco por cento) da redução alcançada no preço será empregada no pagamento por serviços ambientais ou na recomposição da cobertura vegetal em áreas de preservação permanentes ripárias; estabelece no § 15 que na hipótese do § 14, o preço final a ser pago ao concessionário será acrescido do percentual estabelecido para o pagamento por serviços ambientais ou para a recomposição da cobertura vegetal em áreas de preservação ripária; vincula no § 16 a arrecadação dos recursos pelos concessionários, na forma dos §§ 14 e 15, ao Fundo Nacional de Meio Ambiente (art. 2º). Acresce o art. 16-A à Lei nº 9.427/96 (institui a Agência Nacional de Energia Elétrica - ANEEL, disciplina o regime das concessões de serviços públicos de energia elétrica)  para dispor que os contratos de renovação da concessão de geração de energia elétrica, por prorrogação ou nova licitação, deverão prever a obrigação do concessionário em atender ao disposto nos §§ 14 a 16 do art. 4º da Lei nº 9.074/95 (art. 3º). Acresce § 3º ao art. 5º da Lei 7.797/89 para dispor  que os recursos arrecadados na forma dos §§ 14 a 16 da Lei nº 9.074/95, serão aplicados no pagamento por serviços ambientais e na recomposição da cobertura  vegetal em áreas de preservação permanente ripárias, conforme legislação específica.

","CRIAÇÃO, NORMA JURIDICA, LEI FEDERAL, DESTINAÇÃO, RECURSOS FINANCEIROS, FUNDO NACIONAL, MEIO AMBIENTE, PAGAMENTO, SERVIÇO, REFLORESTAMENTO, PROJETO DE LEI, SENADO, PRESERVAÇÃO, COBERTURA, VEGETAÇÃO, PRORROGAÇÃO, CONCESSÃO, CONCESSIONÁRIA, ENERGIA ÉLETRICA, RENOVAÇÃO, REDUÇÃO, PREÇO, PERCENTAGEM, LICITAÇÃO, DESCONTO, ABATIMENTO, APLICAÇÃO.","Senador Rodrigo Rollemberg (PSB/DF)","2012-05-15","2012-05-15",NA,"","",146,"Meio ambiente",84,"Social",NA,"","",NA,"33809634","Meio Ambiente","Meio Ambiente",1,"Meio Ambiente","Individual","CRIAÇÃO, NORMA JURIDICA, LEI FEDERAL, DESTINAÇÃO, ","Criação"
